Gene	Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells
ADAM33	0	0	0	0	0	0
ANKRD55	0	20.972	0.35658	0.43782	2.0073	0.41383
APOC1	0	0	0	0	0	0
BANK1	375.4	0.071871	0.31004	2.3342	0.16994	1.1171
BCL11B	0.081325	72.121	53.454	0.031266	0.021252	21.15
C1QC	0	0	0	1.5632	0	0
CD14	1.8501	0.65717	0.65615	1210.7	420.74	1.3817
CD160	0.89472	1.2989	15.102	0.59405	0.25488	177.88
CD163	0.1525	0.051347	0.077507	143.05	0.37189	0.093102
CD28	0.050843	120.82	60.55	0.02084	0.031891	0.33627
CD300C	0.2338	0.05648	0.124	77.405	1.5614	8.2094
CD300E	0.39503	0.1078	0.21186	356.38	0.39295	0.295
CD33	0.18299	0.082146	0.20151	186.12	15.198	2.1265
CD5	2.7143	146.99	95.752	0.32308	0.55278	0.64156
CD79A	1643.3	2.8449	13.073	0.59404	0.59495	2.7627
CD79B	783.12	16.5	7.9164	11.702	0.21244	28.319
CD8B	0	1.7558	469.21	0	0.095617	1.4743
CDH5	0	0	0	0.17714	0	0
CEACAM3	0	0	0.062007	6.5151	359.55	0.12416
CECR1	71.203	69.091	66.35	445.18	3.2743	97.509
CLDN11	5.8974	5.5244	6.3033	4.8042	4.2697	8.7904
CLDN5	0	0.10268	0	0	0	0
CLEC14A	0	0	0	0	0	0
CLEC6A	0	0	0	6.2636	0.14876	0
CLIC3	0.43723	1.6173	19.983	0.21884	0	405.76
CNTNAP3	1.3522	0.74447	0.97652	0.6982	121.93	2.3749
COL14A1	0	0	0	0	0	0
COL1A1	1.3419	1.1449	2.0978	0.26055	0.63727	1.0708
COL3A1	0	0	0	0	0	0
CPVL	0.72181	0.31832	0.74413	471.64	0.24426	1.2575
CRISPLD2	0.091511	0.46721	0.217	41.817	101.52	0.55867
CSF1R	0.5998	0.51346	0.81633	225.45	24.652	0.98804
CXCL14	0	0	0	0	0	0
CXCR1	0.12199	0.18483	0.70792	1.0111	1303.4	16.224
CXorf36	0.43718	0.31315	0.46508	0.31263	0.71181	1.0709
CYP4F3	0.030494	0	0	1.2922	253.66	0.010346
DGKA	85.378	356.38	222.13	25.188	27.362	39.965
DPT	0	0	0	0	0	0
ECSCR	0	0.35942	0.098183	0	0	0.68283
EGR2	2.3282	0.38511	0.53741	59.42	2.4853	1.0657
